serie,CREST,CREST sem agente
M4_WEEKLY_DATASET_31,50.0,58.333333333333336
M4_WEEKLY_DATASET_32,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_33,75.0,75.0
M4_WEEKLY_DATASET_34,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_35,75.0,75.0
M4_WEEKLY_DATASET_36,25.0,50.0
M4_WEEKLY_DATASET_37,75.0,75.0
M4_WEEKLY_DATASET_38,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_39,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_40,25.0,25.0
M4_WEEKLY_DATASET_41,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_42,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_43,50.0,33.333333333333336
M4_WEEKLY_DATASET_44,66.66666666666667,41.66666666666666
M4_WEEKLY_DATASET_45,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_46,50.0,50.0
M4_WEEKLY_DATASET_47,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_48,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_49,58.333333333333336,66.66666666666667
M4_WEEKLY_DATASET_50,41.66666666666666,50.0
M4_WEEKLY_DATASET_51,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_52,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_53,50.0,50.0
M4_WEEKLY_DATASET_54,66.66666666666667,58.333333333333336
M4_WEEKLY_DATASET_55,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_56,75.0,75.0
M4_WEEKLY_DATASET_57,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_58,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_59,83.33333333333333,75.0
M4_WEEKLY_DATASET_60,16.666666666666668,16.666666666666668
M4_WEEKLY_DATASET_61,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_62,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_63,100.0,100.0
M4_WEEKLY_DATASET_64,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_65,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_66,58.333333333333336,66.66666666666667
M4_WEEKLY_DATASET_67,50.0,50.0
M4_WEEKLY_DATASET_68,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_69,50.0,50.0
M4_WEEKLY_DATASET_70,50.0,50.0
M4_WEEKLY_DATASET_71,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_72,75.0,75.0
M4_WEEKLY_DATASET_73,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_74,50.0,58.333333333333336
M4_WEEKLY_DATASET_75,8.333333333333334,8.333333333333334
M4_WEEKLY_DATASET_76,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_77,75.0,75.0
M4_WEEKLY_DATASET_78,50.0,50.0
M4_WEEKLY_DATASET_79,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_80,75.0,75.0
M4_WEEKLY_DATASET_81,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_82,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_83,75.0,75.0
M4_WEEKLY_DATASET_84,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_85,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_86,83.33333333333333,75.0
M4_WEEKLY_DATASET_87,58.333333333333336,50.0
M4_WEEKLY_DATASET_88,75.0,75.0
M4_WEEKLY_DATASET_89,50.0,50.0
M4_WEEKLY_DATASET_90,66.66666666666667,58.333333333333336
M4_WEEKLY_DATASET_91,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_92,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_93,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_94,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_95,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_96,83.33333333333333,91.66666666666669
M4_WEEKLY_DATASET_97,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_98,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_99,75.0,75.0
M4_WEEKLY_DATASET_100,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_101,50.0,50.0
M4_WEEKLY_DATASET_102,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_103,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_104,33.333333333333336,33.333333333333336
